id;mask;generation;match;selection
0;0,1,0,1,-4,1,0,1,0;1;0;False
1;0,1,0,1,2,1,0,1,0;1;28;False
2;-1,0,1,-2,0,2,-1,0,1;1;12;False
3;0.2,0.2,0.2,0.2,5,0.2,0.2,0.2,0.2;1;0;False
4;0,0,-1,0,0,0,0,-1,0,0,-1,-1,8,-1,-1,0,0,-1,0,0,0,0,-1,0,0;1;3;False
5;0,0,-3,0,0,0,-4,-5,-4,0,-3,-5,48,-5,-3,0,-4,-5,-4,0,0,0,-3,0,0;1;4;False
6;0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12;1;52;True
7;0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19;1;51;True
8;-1,-2,-1,-2,13,-2,-1,-2,-1;1;4;False
9;0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0;1;0;False
10;-0.19,1.38,0.24,0.52,-0.19,1.38;2;0;False
11;-0.44,1.88,0.24,0.53,-0.44,1.88;2;0;False
12;0.33,0.33,0.33,0.33,0.33,0.33;2;0;False
